epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,valid_mae_epoch,valid_mse_epoch
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
,4.711538461538462e-06,4.711538461538462e-06,49,,,
0,,,49,1.1222240924835205,,
0,,,52,,0.7349514961242676,0.8289797306060791
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
,9.51923076923077e-06,9.51923076923077e-06,99,,,
1,,,99,0.4318605363368988,,
1,,,105,,0.571478545665741,0.5136017799377441
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
,1.4326923076923076e-05,1.4326923076923076e-05,149,,,
2,,,149,0.5376418828964233,,
2,,,158,,0.5159876942634583,0.41519543528556824
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
,1.9134615384615383e-05,1.9134615384615383e-05,199,,,
3,,,199,0.3533409833908081,,
3,,,211,,0.49482461810112,0.3836021423339844
